model,phase,domain,case_id,written_sign,final_lead,passes_filter,peak_layer,n_layers,rel_depth,late
Phi-4-14B,discovery,det_correct,NC_4x4_det_304,-,4.2500,1,34,40,0.871795,1
Phi-4-14B,discovery,det_correct,NC_4x4_det_314,-,37.3750,1,39,40,1.000000,1
Phi-4-14B,discovery,det_correct,NC_4x4_det_321,-,34.9375,1,37,40,0.948718,1
Phi-4-14B,discovery,det_correct,NC_4x4_det_323,-,40.1250,1,39,40,1.000000,1
Phi-4-14B,discovery,det_correct,NC_4x4_det_353,-,39.1250,1,39,40,1.000000,1
Phi-4-14B,discovery,det_correct,NC_4x4_det_358,-,13.1250,1,37,40,0.948718,1
Phi-4-14B,discovery,det_correct,NC_4x4_det_382,+,25.1250,1,39,40,1.000000,1
Phi-4-14B,discovery,det_correct,NC_4x4_det_387,-,12.0625,1,35,40,0.897436,1
Phi-4-14B,discovery,det_correct,NC_4x4_det_401,-,35.3125,1,39,40,1.000000,1
Phi-4-14B,discovery,det_correct,NC_4x4_det_410,-,5.1094,1,4,40,0.102564,0
Phi-4-14B,discovery,det_correct,NC_4x4_det_421,-,-1.2500,0,2,40,0.051282,0
Phi-4-14B,discovery,det_correct,NC_4x4_det_432,-,7.3203,1,36,40,0.923077,1
Phi-4-14B,discovery,det_correct,NC_4x4_det_447,+,9.0000,1,32,40,0.820513,1
Phi-4-14B,discovery,det_correct,NC_4x4_det_448,-,25.3750,1,39,40,1.000000,1
Phi-4-14B,discovery,det_correct,NC_4x4_det_454,-,-0.5000,0,2,40,0.051282,0
Phi-4-14B,discovery,det_correct,NC_4x4_det_458,-,36.2500,1,39,40,1.000000,1
Phi-4-14B,discovery,det_correct,NC_4x4_det_471,-,39.4375,1,39,40,1.000000,1
Phi-4-14B,discovery,det_correct,NC_4x4_det_475,+,30.8750,1,32,40,0.820513,1
Phi-4-14B,discovery,det_correct,NC_4x4_det_477,+,23.8750,1,36,40,0.923077,1
Phi-4-14B,discovery,det_correct,NC_4x4_det_478,+,27.8125,1,39,40,1.000000,1
Phi-4-14B,discovery,det_correct,NC_4x4_det_486,-,26.0000,1,37,40,0.948718,1
Phi-4-14B,discovery,det_correct,NC_4x4_det_493,+,31.1250,1,39,40,1.000000,1
Phi-4-14B,discovery,det_correct,NC_4x4_det_494,-,43.5000,1,39,40,1.000000,1
Phi-4-14B,discovery,det_correct,NC_4x4_det_502,-,6.5312,1,36,40,0.923077,1
Phi-4-14B,discovery,det_correct,NC_4x4_det_512,-,3.7500,1,34,40,0.871795,1
Phi-4-14B,discovery,det_correct,NC_4x4_det_520,-,13.1562,1,29,40,0.743590,0
Phi-4-14B,discovery,det_correct,NC_4x4_det_545,-,25.3125,1,37,40,0.948718,1
Phi-4-14B,discovery,det_correct,NC_4x4_det_559,-,14.2500,1,36,40,0.923077,1
Phi-4-14B,discovery,det_correct,NC_4x4_det_560,-,11.6250,1,39,40,1.000000,1
Phi-4-14B,discovery,det_correct,NC_4x4_det_565,-,2.4844,1,2,40,0.051282,0
Phi-4-14B,discovery,det_correct,NC_4x4_det_571,-,12.5000,1,39,40,1.000000,1
Phi-4-14B,discovery,det_correct,NC_4x4_det_580,-,41.2500,1,39,40,1.000000,1
Phi-4-14B,discovery,det_correct,NC_4x4_det_585,+,26.7500,1,32,40,0.820513,1
Phi-4-14B,discovery,ibp_error,ibp_pts_n7_b5,-,3.0000,1,33,40,0.846154,1
Phi-4-14B,discovery,ibp_error,ibp_pts_n8_b12,-,29.7500,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_error,ibp_pts_n8_b15,-,30.0000,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_error,ibp_pts_n8_b5,-,29.5000,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_error,ibp_pts_n8_b9,-,30.2500,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_error,ibp_pts_n9_b1,-,10.1250,1,37,40,0.948718,1
Phi-4-14B,discovery,ibp_error,ibp_pts_n9_b11,-,28.5000,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_error,ibp_pts_n9_b13,-,28.0000,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_error,ibp_pts_n9_b2,-,3.0000,1,33,40,0.846154,1
Phi-4-14B,discovery,ibp_error,ibp_pts_n9_b3,-,29.5000,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_error,ibp_pts_n9_b7,-,1.7500,0,33,40,0.846154,1
Phi-4-14B,discovery,ibp_error,ibp_pts_n9_b9,-,29.2500,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_error,ibp_ptc_n5_b107,-,28.6250,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_error,ibp_ptc_n5_b73,-,0.5000,0,33,40,0.846154,1
Phi-4-14B,discovery,ibp_error,ibp_ptc_n5_b89,-,0.7500,0,33,40,0.846154,1
Phi-4-14B,discovery,ibp_error,ibp_ptc_n5_b97,-,-0.2500,0,33,40,0.846154,1
Phi-4-14B,discovery,ibp_error,ibp_pts_n10_b101,-,30.7500,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_error,ibp_pts_n10_b113,-,31.0000,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_error,ibp_pts_n10_b157,-,29.8750,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_error,ibp_pts_n10_b17,-,26.8750,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_error,ibp_pts_n10_b199,-,29.8750,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_error,ibp_pts_n10_b227,-,29.8750,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_error,ibp_pts_n10_b23,-,29.1250,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_error,ibp_pts_n10_b31,-,30.2500,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_error,ibp_pts_n10_b41,-,31.0000,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_error,ibp_pts_n10_b43,-,30.6250,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_error,ibp_pts_n10_b47,-,30.7500,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_error,ibp_pts_n10_b59,-,30.8750,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_error,ibp_pts_n10_b67,-,30.1250,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_error,ibp_pts_n10_b7,-,30.0000,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_error,ibp_pts_n10_b79,-,30.8750,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_error,ibp_pts_n10_b83,-,30.5000,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_error,ibp_pts_n10_b89,-,30.3750,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_error,ibp_pts_n11_b1,-,2.0000,1,33,40,0.846154,1
Phi-4-14B,discovery,ibp_error,ibp_pts_n11_b107,-,29.8750,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_error,ibp_pts_n11_b127,-,31.1250,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_error,ibp_pts_n11_b149,-,26.0000,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_error,ibp_pts_n11_b173,-,30.8750,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_error,ibp_pts_n11_b211,-,31.0000,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_error,ibp_pts_n11_b229,-,31.1250,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_correct,ibp_pts_n5_b31,-,36.4375,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_correct,ibp_ptc_n5_b47,-,34.2500,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_correct,ibp_ptc_n7_b269,-,34.1250,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_correct,ibp_ptc_n8_b151,-,32.7500,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_correct,ibp_ptc_n8_b199,-,33.0000,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_correct,ibp_ptc_n3_b10,-,36.0938,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_correct,ibp_ptc_n10_b197,+,7.1250,1,35,40,0.897436,1
Phi-4-14B,discovery,ibp_correct,ibp_pts_n2_b15,-,37.3125,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_correct,ibp_ptc_n5_b5,-,17.5938,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_correct,ibp_ptc_n5_b151,-,36.4375,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_correct,ibp_pts_n8_b197,-,30.6250,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_correct,ibp_pts_n4_b1,-,39.9688,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_correct,ibp_ptc_n10_b167,+,29.5000,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_correct,ibp_ptc_n5_b167,-,32.5000,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_correct,ibp_pts_n7_b269,-,28.6250,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_correct,ibp_ptc_n8_b113,-,35.6250,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_correct,ibp_ptc_n4_b7,+,37.0000,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_correct,ibp_pts_n3_b4,-,29.2500,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_correct,ibp_ptc_n7_b197,-,23.5000,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_correct,ibp_pts_n2_b2,+,31.1250,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_correct,ibp_pts_n8_b311,+,32.7500,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_correct,ibp_ptc_n7_b71,-,23.5000,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_correct,ibp_ptc_n2_b1,-,30.7500,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_correct,ibp_pts_n8_b257,-,30.5000,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_correct,ibp_ptc_n9_b29,-,33.0000,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_correct,ibp_ptc_n10_b211,-,14.7500,1,37,40,0.948718,1
Phi-4-14B,discovery,ibp_correct,ibp_pts_n2_b13,-,35.0000,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_correct,ibp_ptc_n4_b5,+,30.7500,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_correct,ibp_ptc_n3_b1,+,30.1250,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_correct,ibp_ptc_n5_b199,-,39.4375,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_correct,ibp_ptc_n5_b229,-,35.9375,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_correct,ibp_ptc_n1_b5,+,29.7500,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_correct,ibp_ptc_n5_b227,+,32.1250,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_correct,ibp_pts_n1_b2,-,34.9688,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_correct,ibp_ptc_n7_b179,-,34.1250,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_correct,ibp_pts_n7_b149,-,30.3750,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_correct,ibp_pts_n5_b97,-,31.8750,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_correct,ibp_ptc_n10_b41,+,22.8750,1,32,40,0.820513,1
Phi-4-14B,discovery,ibp_correct,ibp_pts_n8_b139,-,30.5000,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_correct,ibp_pts_n5_b199,-,23.7500,1,37,40,0.948718,1
Phi-4-14B,discovery,ibp_correct,ibp_ptc_n5_b113,-,37.8750,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_correct,ibp_ptc_n3_b4,-,35.0625,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_correct,ibp_pts_n2_b17,+,30.0000,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_correct,ibp_pts_n5_b59,+,34.3750,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_correct,ibp_ptc_n10_b199,-,15.5000,1,37,40,0.948718,1
Phi-4-14B,discovery,ibp_correct,ibp_pts_n3_b9,-,39.8438,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_correct,ibp_ptc_n2_b17,-,16.5898,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_correct,ibp_ptc_n8_b191,-,32.8750,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_correct,ibp_ptc_n5_b223,-,35.9062,1,39,40,1.000000,1
Phi-4-14B,discovery,ibp_correct,ibp_pts_n0_b2,+,33.6250,1,39,40,1.000000,1
Phi-4-14B,heldout,det_error,NC_4x4_det_750,-,4.7500,1,37,40,0.948718,1
Phi-4-14B,heldout,det_error,NC_4x4_det_765,-,18.2500,1,36,40,0.923077,1
Phi-4-14B,heldout,det_error,NC_4x4_det_1346,-,14.0000,1,39,40,1.000000,1
Phi-4-14B,heldout,det_error,NC_4x4_det_142,-,40.6875,1,39,40,1.000000,1
Phi-4-14B,heldout,det_error,NC_4x4_det_389,-,25.2500,1,37,40,0.948718,1
Phi-4-14B,heldout,det_error,NC_4x4_det_1821,-,10.0000,1,37,40,0.948718,1
Phi-4-14B,heldout,det_error,NC_4x4_det_468,-,31.0000,1,39,40,1.000000,1
Phi-4-14B,heldout,det_error,NC_4x4_det_1575,+,18.7500,1,36,40,0.923077,1
Phi-4-14B,heldout,det_error,NC_4x4_det_1187,-,7.5000,1,37,40,0.948718,1
Phi-4-14B,heldout,det_error,NC_4x4_det_384,-,33.7500,1,39,40,1.000000,1
Phi-4-14B,heldout,det_error,NC_4x4_det_344,-,29.9375,1,39,40,1.000000,1
Phi-4-14B,heldout,det_error,C_4x4_det_029,-,31.5000,1,37,40,0.948718,1
Phi-4-14B,heldout,det_error,NC_4x4_det_0983,-,5.5000,1,37,40,0.948718,1
Phi-4-14B,heldout,det_error,C_4x4_det_012,-,1.7500,0,37,40,0.948718,1
Phi-4-14B,heldout,det_error,NC_4x4_det_229,-,43.5625,1,39,40,1.000000,1
Phi-4-14B,heldout,det_error,NC_4x4_det_1226,-,40.0625,1,39,40,1.000000,1
Phi-4-14B,heldout,det_error,NC_4x4_det_732,-,10.6250,1,39,40,1.000000,1
Phi-4-14B,heldout,det_error,NC_4x4_det_1966,-,25.5000,1,37,40,0.948718,1
Phi-4-14B,heldout,det_error,NC_4x4_det_1450,+,19.7500,1,36,40,0.923077,1
Phi-4-14B,heldout,det_error,NC_4x4_det_025,-,39.8750,1,39,40,1.000000,1
Phi-4-14B,heldout,det_error,NC_4x4_det_1024,-,40.8750,1,39,40,1.000000,1
Phi-4-14B,heldout,det_error,NC_4x4_det_1280,+,37.5000,1,39,40,1.000000,1
Phi-4-14B,heldout,det_error,NC_4x4_det_588,-,8.2500,1,34,40,0.871795,1
Phi-4-14B,heldout,det_error,NC_4x4_det_315,-,-4.0000,0,2,40,0.051282,0
Phi-4-14B,heldout,det_error,NC_4x4_det_789,-,21.8750,1,34,40,0.871795,1
Phi-4-14B,heldout,det_error,NC_4x4_det_1526,-,12.0000,1,37,40,0.948718,1
Phi-4-14B,heldout,det_error,NC_4x4_det_1417,-,15.6250,1,39,40,1.000000,1
Phi-4-14B,heldout,det_error,NC_4x4_det_463,+,35.6250,1,39,40,1.000000,1
Phi-4-14B,heldout,det_error,NC_4x4_det_1090,-,11.8750,1,39,40,1.000000,1
Phi-4-14B,heldout,det_error,NC_4x4_det_620,-,11.5000,1,39,40,1.000000,1
Phi-4-14B,heldout,det_error,NC_4x4_det_036,-,9.5000,1,39,40,1.000000,1
Phi-4-14B,heldout,det_error,NC_4x4_det_355,-,29.9375,1,37,40,0.948718,1
Phi-4-14B,heldout,det_error,NC_4x4_det_1687,+,25.6250,1,36,40,0.923077,1
Phi-4-14B,heldout,det_error,C_4x4_det_019,-,13.1875,1,36,40,0.923077,1
Phi-4-14B,heldout,det_error,NC_4x4_det_1027,-,18.6250,1,36,40,0.923077,1
Phi-4-14B,heldout,det_error,NC_4x4_det_1950,-,8.0000,1,39,40,1.000000,1
Phi-4-14B,heldout,det_error,NC_4x4_det_360,-,17.5000,1,37,40,0.948718,1
Phi-4-14B,heldout,det_error,NC_4x4_det_1699,-,14.2500,1,39,40,1.000000,1
Phi-4-14B,heldout,det_error,C_4x4_det_039,-,17.3750,1,36,40,0.923077,1
Phi-4-14B,heldout,det_error,NC_4x4_det_1994,-,21.6250,1,39,40,1.000000,1
Phi-4-14B,heldout,det_error,NC_4x4_det_258,-,16.0625,1,36,40,0.923077,1
Phi-4-14B,heldout,det_error,NC_4x4_det_1749,+,18.7500,1,32,40,0.820513,1
Phi-4-14B,heldout,det_error,NC_4x4_det_251,-,11.3750,1,37,40,0.948718,1
Phi-4-14B,heldout,det_error,NC_4x4_det_1762,+,11.5000,1,32,40,0.820513,1
Phi-4-14B,heldout,det_error,C_4x4_det_032,-,21.6250,1,39,40,1.000000,1
Phi-4-14B,heldout,det_error,NC_4x4_det_1216,-,29.2500,1,39,40,1.000000,1
Phi-4-14B,heldout,det_error,NC_4x4_det_1326,+,12.3750,1,39,40,1.000000,1
Phi-4-14B,heldout,det_error,NC_4x4_det_1924,-,24.2500,1,37,40,0.948718,1
Phi-4-14B,heldout,det_error,NC_4x4_det_1802,-,28.8750,1,39,40,1.000000,1
Phi-4-14B,heldout,det_error,NC_4x4_det_608,-,10.5000,1,37,40,0.948718,1
Phi-4-14B,heldout,det_error,NC_4x4_det_1684,-,18.0625,1,37,40,0.948718,1
Phi-4-14B,heldout,det_error,NC_4x4_det_1753,-,3.7500,1,34,40,0.871795,1
Phi-4-14B,heldout,det_error,NC_4x4_det_1645,-,4.7500,1,37,40,0.948718,1
Phi-4-14B,heldout,det_error,C_4x4_det_016,-,2.6250,1,37,40,0.948718,1
Phi-4-14B,heldout,det_error,NC_4x4_det_1416,-,29.7500,1,39,40,1.000000,1
Phi-4-14B,heldout,det_error,NC_4x4_det_1732,-,31.0000,1,37,40,0.948718,1
Phi-4-14B,heldout,det_error,NC_4x4_det_501,-,30.8750,1,39,40,1.000000,1
Phi-4-14B,heldout,det_error,NC_4x4_det_0869,-,15.8750,1,39,40,1.000000,1
Phi-4-14B,heldout,det_error,NC_4x4_det_052,-,14.3750,1,39,40,1.000000,1
Phi-4-14B,heldout,det_error,NC_4x4_det_395,-,21.5000,1,39,40,1.000000,1
Phi-4-14B,heldout,det_error,NC_4x4_det_1284,+,29.5000,1,36,40,0.923077,1
Phi-4-14B,heldout,det_error,NC_4x4_det_1247,-,30.1875,1,37,40,0.948718,1
Phi-4-14B,heldout,det_error,NC_4x4_det_1735,-,14.0000,1,37,40,0.948718,1
Phi-4-14B,heldout,det_error,NC_4x4_det_1361,+,37.1250,1,39,40,1.000000,1
Phi-4-14B,heldout,det_error,NC_4x4_det_1289,-,42.1875,1,39,40,1.000000,1
Phi-4-14B,heldout,det_error,NC_4x4_det_495,-,15.0000,1,36,40,0.923077,1
Phi-4-14B,heldout,det_error,NC_4x4_det_1162,-,8.7500,1,37,40,0.948718,1
Phi-4-14B,heldout,det_error,NC_4x4_det_1438,+,11.7500,1,32,40,0.820513,1
Phi-4-14B,heldout,det_error,NC_4x4_det_313,+,33.7500,1,39,40,1.000000,1
Phi-4-14B,heldout,det_error,NC_4x4_det_1625,-,20.1250,1,37,40,0.948718,1
Phi-4-14B,heldout,det_error,NC_4x4_det_700,+,20.0000,1,36,40,0.923077,1
Phi-4-14B,heldout,det_error,NC_4x4_det_1602,-,6.5000,1,37,40,0.948718,1
Phi-4-14B,heldout,det_error,NC_4x4_det_1852,-,20.0000,1,39,40,1.000000,1
Phi-4-14B,heldout,det_error,NC_4x4_det_1766,-,6.5000,1,37,40,0.948718,1
Phi-4-14B,heldout,det_error,NC_4x4_det_1022,-,-2.5000,0,2,40,0.051282,0
Phi-4-14B,heldout,det_error,NC_4x4_det_1422,-,16.1250,1,39,40,1.000000,1
Phi-4-14B,heldout,det_error,NC_4x4_det_1794,-,4.5000,1,39,40,1.000000,1
Phi-4-14B,heldout,det_error,NC_4x4_det_385,-,16.5000,1,39,40,1.000000,1
Phi-4-14B,heldout,det_error,C_4x4_det_036,-,4.5000,1,39,40,1.000000,1
Phi-4-14B,heldout,det_error,NC_4x4_det_754,-,5.7500,1,37,40,0.948718,1
Phi-4-14B,heldout,det_error,NC_4x4_det_0920,-,17.4375,1,37,40,0.948718,1
Phi-4-14B,heldout,det_error,NC_4x4_det_0853,-,18.3750,1,36,40,0.923077,1
Phi-4-14B,heldout,det_error,NC_4x4_det_735,-,9.7500,1,39,40,1.000000,1
Phi-4-14B,heldout,det_error,NC_4x4_det_1091,-,17.6250,1,39,40,1.000000,1
Phi-4-14B,heldout,det_error,NC_4x4_det_764,-,5.7500,1,37,40,0.948718,1
Phi-4-14B,heldout,det_error,NC_4x4_det_1164,-,34.4375,1,39,40,1.000000,1
Phi-4-14B,heldout,det_error,NC_4x4_det_361,+,19.7500,1,36,40,0.923077,1
Phi-4-14B,heldout,det_error,C_4x4_det_024,-,19.3125,1,34,40,0.871795,1
Phi-4-14B,heldout,det_error,NC_4x4_det_219,-,4.0000,1,39,40,1.000000,1
Phi-4-14B,heldout,det_error,NC_4x4_det_1742,-,26.9375,1,37,40,0.948718,1
Phi-4-14B,heldout,det_error,NC_4x4_det_115,-,16.7500,1,39,40,1.000000,1
Phi-4-14B,heldout,det_error,NC_4x4_det_1299,+,35.8750,1,39,40,1.000000,1
Phi-4-14B,heldout,det_error,NC_4x4_det_445,-,17.4375,1,37,40,0.948718,1
Phi-4-14B,heldout,det_error,NC_4x4_det_537,+,2.0000,1,27,40,0.692308,0
Phi-4-14B,heldout,det_error,NC_4x4_det_341,-,4.2500,1,37,40,0.948718,1
Phi-4-14B,heldout,det_error,NC_4x4_det_1331,-,29.1250,1,39,40,1.000000,1
Phi-4-14B,heldout,det_error,C_4x4_det_050,-,27.3750,1,37,40,0.948718,1
Phi-4-14B,heldout,det_error,C_4x4_det_037,-,5.5000,1,37,40,0.948718,1
Phi-4-14B,heldout,det_error,NC_4x4_det_1957,-,31.4375,1,39,40,1.000000,1
Phi-4-14B,heldout,det_error,NC_4x4_det_0975,-,9.2500,1,39,40,1.000000,1
Phi-4-14B,heldout,det_error,C_4x4_det_048,+,4.5000,1,31,40,0.794872,1
Phi-4-14B,heldout,det_error,NC_4x4_det_1179,-,25.2500,1,37,40,0.948718,1
Phi-4-14B,heldout,det_error,NC_4x4_det_1589,-,18.5625,1,37,40,0.948718,1
Phi-4-14B,heldout,det_error,NC_4x4_det_1317,+,36.6250,1,39,40,1.000000,1
Phi-4-14B,heldout,det_error,NC_4x4_det_575,-,34.9375,1,39,40,1.000000,1
Phi-4-14B,heldout,det_error,C_4x4_det_007,-,20.2500,1,37,40,0.948718,1
Phi-4-14B,heldout,det_error,NC_4x4_det_1533,-,-4.0000,0,5,40,0.128205,0
Phi-4-14B,heldout,det_error,NC_4x4_det_1988,-,26.8750,1,37,40,0.948718,1
Phi-4-14B,heldout,det_error,C_4x4_det_010,-,10.5000,1,37,40,0.948718,1
Phi-4-14B,heldout,det_error,NC_4x4_det_0994,-,21.1250,1,36,40,0.923077,1
Phi-4-14B,heldout,det_error,NC_4x4_det_152,-,40.8125,1,39,40,1.000000,1
Phi-4-14B,heldout,det_error,NC_4x4_det_1383,-,9.2500,1,37,40,0.948718,1
Phi-4-14B,heldout,det_error,NC_4x4_det_228,-,28.7500,1,37,40,0.948718,1
Phi-4-14B,heldout,det_error,NC_4x4_det_569,-,15.5000,1,36,40,0.923077,1
Phi-4-14B,heldout,det_error,NC_4x4_det_1902,-,40.1250,1,39,40,1.000000,1
Phi-4-14B,heldout,det_error,NC_4x4_det_234,-,5.2500,1,39,40,1.000000,1
Phi-4-14B,heldout,det_error,NC_4x4_det_434,-,15.5000,1,36,40,0.923077,1
Phi-4-14B,heldout,det_error,NC_4x4_det_0885,-,23.3750,1,37,40,0.948718,1
Phi-4-14B,heldout,det_error,NC_4x4_det_1561,-,6.5000,1,37,40,0.948718,1
Phi-4-14B,heldout,det_error,NC_4x4_det_1199,-,17.3750,1,36,40,0.923077,1
Phi-4-14B,heldout,det_error,NC_4x4_det_725,-,10.6250,1,37,40,0.948718,1
Phi-4-14B,heldout,det_error,NC_4x4_det_0812,-,16.3750,1,39,40,1.000000,1
Phi-4-14B,heldout,det_error,NC_4x4_det_1040,-,29.1250,1,37,40,0.948718,1
Phi-4-14B,heldout,det_error,NC_4x4_det_075,-,27.3750,1,39,40,1.000000,1
Phi-4-14B,heldout,det_error,NC_4x4_det_1808,-,23.5000,1,37,40,0.948718,1
Phi-4-14B,heldout,det_error,NC_4x4_det_1940,-,29.0625,1,39,40,1.000000,1
Phi-4-14B,heldout,det_error,NC_4x4_det_0879,+,26.6250,1,36,40,0.923077,1
Phi-4-14B,heldout,det_error,NC_4x4_det_1750,-,-5.5000,0,2,40,0.051282,0
Phi-4-14B,heldout,det_error,NC_4x4_det_623,-,3.5000,1,37,40,0.948718,1
Phi-4-14B,heldout,det_error,NC_4x4_det_261,-,11.5000,1,36,40,0.923077,1
Phi-4-14B,heldout,det_error,NC_4x4_det_096,+,7.0000,1,28,40,0.717949,0
Phi-4-14B,heldout,det_error,NC_4x4_det_1170,-,22.1250,1,39,40,1.000000,1
Phi-4-14B,heldout,det_error,NC_4x4_det_1930,-,44.1875,1,39,40,1.000000,1
Phi-4-14B,heldout,det_error,NC_4x4_det_1744,-,29.7500,1,39,40,1.000000,1
Phi-4-14B,heldout,det_error,C_4x4_det_030,-,28.6250,1,37,40,0.948718,1
Phi-4-14B,heldout,det_error,NC_4x4_det_020,-,26.7500,1,37,40,0.948718,1
Phi-4-14B,heldout,det_error,NC_4x4_det_650,-,4.5000,1,37,40,0.948718,1
Phi-4-14B,heldout,det_error,NC_4x4_det_675,-,3.5000,1,39,40,1.000000,1
Phi-4-14B,heldout,det_error,NC_4x4_det_0814,-,42.4375,1,39,40,1.000000,1
Phi-4-14B,heldout,det_error,NC_4x4_det_746,-,16.1250,1,37,40,0.948718,1
Phi-4-14B,heldout,det_error,NC_4x4_det_259,+,30.5000,1,36,40,0.923077,1
Phi-4-14B,heldout,det_error,NC_4x4_det_1271,+,1.0000,0,30,40,0.769231,1
Phi-4-14B,heldout,det_error,NC_4x4_det_1469,+,8.7500,1,33,40,0.846154,1
Phi-4-14B,heldout,det_error,NC_4x4_det_1923,-,27.7500,1,37,40,0.948718,1
Phi-4-14B,heldout,det_error,NC_4x4_det_043,-,-1.7500,0,23,40,0.589744,0
Phi-4-14B,heldout,det_error,NC_4x4_det_310,-,3.0000,1,39,40,1.000000,1
Phi-4-14B,heldout,det_error,NC_4x4_det_0817,+,10.5000,1,29,40,0.743590,0
Phi-4-14B,heldout,det_error,C_4x4_det_017,-,20.6250,1,36,40,0.923077,1
Phi-4-14B,heldout,det_error,NC_4x4_det_047,-,42.4375,1,39,40,1.000000,1
Phi-4-14B,heldout,det_error,NC_4x4_det_1709,-,26.5000,1,37,40,0.948718,1
Phi-4-14B,heldout,det_correct,NC_4x4_det_586,-,7.2500,1,36,40,0.923077,1
Phi-4-14B,heldout,det_correct,NC_4x4_det_590,-,4.2656,1,4,40,0.102564,0
Phi-4-14B,heldout,det_correct,NC_4x4_det_598,-,13.8359,1,39,40,1.000000,1
Phi-4-14B,heldout,det_correct,NC_4x4_det_611,-,39.0000,1,39,40,1.000000,1
Phi-4-14B,heldout,det_correct,NC_4x4_det_613,-,39.4062,1,39,40,1.000000,1
Phi-4-14B,heldout,det_correct,NC_4x4_det_629,+,7.0000,1,32,40,0.820513,1
